@relation trainingData
@attribute 360 numeric
@attribute 361 numeric
@attribute 362 numeric
@attribute 363 numeric
@attribute 364 numeric
@attribute 365 numeric
@attribute 366 numeric
@attribute 367 numeric
@attribute 368 numeric
@attribute 369 numeric
@attribute 370 numeric
@attribute 371 numeric
@attribute 372 numeric
@attribute 373 numeric
@attribute 374 numeric
@attribute 375 numeric
@attribute 376 numeric
@attribute 377 numeric
@attribute 378 numeric
@attribute 379 numeric
@attribute 380 numeric
@attribute 381 numeric
@attribute 382 numeric
@data
0.0,2.0,2.0,0.0,0.0,1.0,0.0,32.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,2.0,0.0,0.0,1.0,0.0,32.0,40.54999923706055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,2.0,0.0,0.0,1.0,0.0,32.0,48.26749801635742,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,2.0,2.0,0.0,0.0,1.0,0.0,32.0,57.82737350463867,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,2.0,2.0,0.0,0.0,1.0,0.0,32.0,68.9532699584961,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
-60.0,2.0,2.0,0.0,0.0,1.0,0.0,32.0,81.4102783203125,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
-60.0,2.0,2.0,0.0,0.0,1.0,0.0,32.0,94.99873352050781,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,2.0,2.0,0.0,0.0,1.0,0.0,32.0,109.5489273071289,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,2.0,2.0,0.0,0.0,1.0,0.0,32.0,124.91658782958984,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,2.0,2.0,0.0,0.0,1.0,0.0,32.0,140.97911071777344,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,2.0,2.0,0.0,0.0,1.0,0.0,32.0,157.6322479248047,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,2.0,2.0,0.0,0.0,1.0,0.0,32.0,174.78741455078125,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,2.0,2.0,0.0,0.0,1.0,0.0,32.0,192.3693084716797,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,2.0,2.0,0.0,0.0,1.0,0.0,32.0,210.3139190673828,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,2.0,2.0,1.0,0.0,1.0,0.0,32.0,223.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,2.0,2.0,1.0,1.0,1.0,0.0,32.0,223.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,2.0,2.0,1.0,1.0,1.0,0.0,32.0,223.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,2.0,2.0,1.0,1.0,1.0,0.0,32.0,223.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,2.0,2.0,1.0,1.0,1.0,0.0,32.0,223.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,2.0,2.0,1.0,1.0,1.0,0.0,32.0,223.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,2.0,2.0,1.0,1.0,1.0,0.0,32.0,223.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,2.0,2.0,1.0,1.0,1.0,0.0,32.0,223.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
